Country,ISO Country code,Continent,Population,Surface Area (Km2),GINI index,happy planet index,human development index,sustainable economic development assessment (SEDA),GDP growth(annual %),Economic Growth,health expenditure % of GDP,health expenditure per person,infant mortality,"maternal mortality per 100,000 live births",Education as % of GDP,% of primary school aged kids out of school,political rights score,civil liberties score,political stability & absence of violence,government effectiveness,regulatory quality,rule of law,control of corruption,judicial effectiveness score,government integrity score,overall economic freedom score,financial freedom score,government expenditure (% of GDP),share of electricity from renewables generation,% of seats held by women in national parliaments,Military Spending as % of GDP,Access to electricity (% of population) ,Adults (ages 15-49) newly infected with HIV ,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total) ","Cause of death, by injury (% of total) ","Cause of death, by non-communicable diseases (% of total) ",CO2 emissions (metric tons per capita) ,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49) ",Young people (ages 15-24) newly infected with HIV ,"Death rate, crude (per 1,000 people) ",Domestic general government health expenditure (% of GDP) ,Electric power consumption (kWh per capita) ,"Employment to population ratio, 15+, total (%) (modeled ILO estimate) ",GDP (current US$) ,GDP per capita (current US$) ,GNI (current US$) ,GNI per capita (current LCU) ,"Government expenditure on education, total (% of government expenditure) ",Ease of doing business score (0 = lowest performance to 100 = best performance) ,Human capital index (HCI) (scale 0-1) ,"Incidence of HIV, all (per 1,000 uninfected population) ","Incidence of tuberculosis (per 100,000 people) ","Inflation, GDP deflator (annual %) ","Life expectancy at birth, total (years) ",Merchandise trade (% of GDP) ,Military expenditure (% of GDP) ,Military expenditure (% of general government expenditure) ,"Mortality rate, infant (per 1,000 live births) ","Mortality rate, adult, male (per 1,000 male adults) ","Mortality rate, adult, female (per 1,000 female adults) ","Mortality rate, under-5 (per 1,000 live births) ","Mortality caused by road traffic injury (per 100,000 population) ","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population) ","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population) ","Net trade in goods (BoP, current US$) ","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter) ","PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total) ",Population density (people per sq. km of land area) ,"Prevalence of HIV, total (% of population ages 15-49) ",Prevalence of severe food insecurity in the population (%) ,Prevalence of undernourishment (% of population) ,Women Business and the Law Index Score (scale 1-100) ,"Unemployment, total (% of total labor force) (modeled ILO estimate) ",Trade (% of GDP) ,Total greenhouse gas emissions (% change from 1990) ,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) ",Tax revenue (% of GDP) ,Tax payments (number) ,Start-up procedures to register a business (number) ,"School enrollment, secondary (% gross) ",Rural population (% of total population) ,Renewable electricity output (% of total electricity output) ,Renewable energy consumption (% of total final energy consumption) ,Renewable internal freshwater resources per capita (cubic meters) ,"Renewable internal freshwater resources, total (billion cubic meters) ",UHC service coverage index ,Tuberculosis treatment success rate (% of new cases) ,"Tuberculosis case detection rate (%, all forms) "
Cameroon,CMR,Africa,27198628,475440,44.6,39.9,0.576,32.1,3.49,3.49,3.17,54,63.8,529,3.17,-,6,9,-1.41,-0.9,-0.9,-1.097,-1.09,10.9,19.9,52.9,50,21.6,0.643,34,0.0102,64.72136688,9600,51.81622547,10.45751758,37.72625669,0.365754231,0.77,4000,8.419,0.12061489,279.9155231,72.5059967,45338283345,1666.932734,44306780490,903334.9035,14.0946703,46.09974,0.397401512,0.56,164,3.356131743,60.833,22.49754346,1.024089314,5.538018548,48.3,329.202,265.145,72.2,30.2,208.1,45.2,-679366093.9,72.79309622,100,57.20727747,2.9,26.7,6.7,60,3.86500001,33.7389805,3.451748715,5.65,12.34694571,44,6,45.15785599,41.852,76.11719444,79.41,10588.64282,273,44,86,50
Canada,CAN,North America,38246108,9879750,32.1,40.2,0.936,76.9,4.56,4.56,-,5048.4,3.9,10,-,-,40,58,0.94,1.6,1.6,1.627,1.65,96.4,86.7,76.6,80,39.9,0.688,30,0.0132,100,-,4.772252267,5.419114589,89.80863295,15.43061283,-,-,8.1,7.60929585,15588.48715,60.31600189,1.99E+12,51987.93905,1.97E+12,64722.37646,11.73793983,79.64043,0.797520101,-,5.3,8.069384509,81.74878049,50.87831389,1.315152952,2.735723076,4.4,-,-,5,5.3,7,0.4,-29665332506,6.428383133,0,3.871161517,0.31,1,2.5,100,7.510000229,60.78253044,68.73487187,8.94,13.05768467,8,2,114.8661575,18.347,63.01145004,22.11,75795.39286,2850,89,-,87
Central African Republic,CAF,Africa,5457154,622980,43.6,25.2,0.404,16.1,0.9,0.9,2.17,37.2,4.4,829,2.17,-,3,4,-2.1,-1.6,-1.5,-1.667,-1.23,12.3,18.3,45.7,30,13.4,0.994,13,0.0186,15.46508408,2100,59.0611668,9.020713997,31.91811867,0.046071236,0.95,1200,11.041,0.81950128,-,66.55799866,2516498299,461.1374902,2688202098,273162.6396,9.797809601,35.56585,0.291631907,0.58,540,3.27056491,54.604,29.88279389,1.858675078,8.500486026,77.5,448.54,367.44,103,37.7,211.9,82.1,-,56.82849738,100,8.759757938,2.7,61.8,52.2,76.875,6.574999809,49.52102,252.2856531,2.38,8.63983072,56,10,-,57.352,99.41520468,91.26,27066.85167,141,32,79,45
Chad,TCD,Africa,17179740,1284000,43.3,30.4,0.394,20.4,-1.2,-1.2,2.91,29.9,11.6,1140,2.91,-,1,14,-1.34,-1.4,-1.2,-1.325,-1.48,13.6,13.1,49.8,40,17.7,-,32,0.0279,11.08011723,2300,63.44751848,9.567027411,26.98545265,0.139518738,0.31,1100,12.486,0.75380653,-,57.24399948,11779980802,685.6902841,11381134158,367362.2704,14.21378994,36.93568,0.299782783,0.21,140,7.199988308,52.777,45.03402925,2.794138043,15.69537969,67.4,408.621,344.715,110,32.4,280.1,101,-,66.0292055,100,13.37985981,1.1,-,32.7,66.25,1.881999969,68.73036014,498.7255734,1.37,-,54,8,-,76.219,0,77.79,930.1249232,15,28,81,57
Chile,CHL,South America,19493184,756700,50.5,45.6,0.855,62.6,11.67,11.67,5.43,1375.8,5.5,13,-,-,38,56,0.06,0.6,1,0.914,0.98,91.4,71.4,74.4,70,25,0.483,35,0.0196,100,3600,7.111620873,7.763257778,85.12512574,4.798974486,0.37,1000,7.221,4.7519598,3895.436156,49.64799881,3.17E+11,16265.09598,2.99E+11,11627397.63,21.23353004,72.58023,0.651604176,0.2,16,7.559883001,79.377,58.93991011,1.96335906,5.902207541,5.8,112.595,62.14,6.8,14.9,25.3,0.2,18975767172,21.03629906,97.66301771,25.76078234,0.6,3.8,2.6,80,9.128000259,58.50415982,120.5139441,9.07,18.3955245,7,7,103.6418533,12.183,43.60433496,25.26,46482.34971,885,80,77,87
China,CHN,Asia,1412360000,9600012.9,46.5,41.9,0.768,50.8,8.11,8.11,3.57,535.1,57.9,29,3.57,-,-2,11,-0.48,0.8,-0.3,0.035,0.05,37.4,39.3,48,20,30.7,0.292,25,0.0174,100,-,3.549710558,6.817212942,89.6330763,7.605936961,-,-,7.07,2.99503422,3905.317598,64.77899933,1.77E+13,12556.33312,1.76E+13,80237.3191,11.22999954,77.28424,0.653102636,-,55,4.371786898,78.077,34.12906067,1.73634051,5.025497783,5.5,109.413,55.437,7.3,17.4,112.7,0.6,5.11E+11,52.66459583,99.99829446,147.1206356,0.04,-,2.5,75.625,4.816999912,34.75429578,219.9524772,7.05,9.052685732,7,5,-,37.488,23.92681717,14.45,1998.160178,2812.9,82,95,75
Colombia,COL,South America,51516562,1140619.05,51.1,60.2,0.752,49.1,10.56,10.56,4.93,495.3,47.2,83,4.93,1.21,29,35,-0.91,0,0.2,-0.452,-0.34,59.1,42,65.1,70,29.2,0.671,19,0.034,100,8100,10.33977341,14.01450815,75.64571442,1.61474775,0.3,2800,6.606,5.54188728,1320.34513,55.43299866,3.14E+11,6104.136709,3.09E+11,22472884.4,13.71910954,70.05964,0.604330301,0.17,41,6.502214787,74.769,32.24151437,3.401893976,9.572258718,11.4,166.27,87.21,13.2,15.4,37,0.8,-8869788062,16.52721022,92.10462898,45.16544064,0.5,-,8.2,84.375,14.33600044,33.90423132,-0.564903873,5.74,14.67432951,10,8,101.7957611,18.26,68.23681122,30.72,42739.80608,2145,78,71,65
Comoros,COM,Africa,821625,1861,55.9,42.4,0.558,-,2.35,2.35,-,72.3,12.2,273,-,-,16,26,-0.23,-1.8,-1.2,-1.225,-1.29,21.2,20.1,50.4,30,27.2,0.004,17,-,86.73713684,100,44.07133812,11.24678304,44.68188009,0.404558352,0.01,100,8.274,0.83081788,-,39.26399994,1296089633,1577.471027,1302398117,659351.9556,-,47.87291,0.404688299,0.01,35,0.059577397,64.166,27.93016709,-,-,47.2,262.788,186.394,61.3,26.6,172.4,50.7,-217152485.7,20.5468246,100,441.4965073,0.1,27.4,-,65,9.44699955,33.72993462,91.66933933,0.69,-,33,9,-,70.387,0,53.43,1517.093855,1.2,44,92,47
Congo (Dem. Rep.),COD,Africa,95894118,2344860,42.1,40.5,0.479,24.8,5.71,5.71,2.7,20.6,33,473,2.7,-,2,15,-1.61,-1.7,-1.4,-1.704,-1.55,13.2,11.8,47.6,20,13.2,0.289,13,0.0056,19.10000038,13000,56.18278095,9.68515364,34.13206532,0.035703604,0.26,4800,9.537,0.55936718,105.2796488,61.56600189,55350968593,577.2092152,51986874182,1078504.582,-,36.20973,0.366369277,0.18,318,14.97543455,59.739,61.06487539,0.56168578,4.330432664,63.8,313.209,248.709,81.2,34.9,163.9,59.8,1923441763,44.9092636,100,40.89545559,0.7,39.2,39.8,78.75,5.426000118,58.49175733,-41.73442939,2,-,52,4,-,53.765,99.82106911,96.24,10010.35627,900,39,94,70
Congo (Rep.),COG,Africa,5835806,342000,48.9,47.2,0.571,32.7,-3.5,-3.5,4.45,48.6,11.4,378,4.45,-,4,15,-0.61,-1.6,-1.4,-1.136,-1.37,14.9,13.4,48.5,30,47.1,0.999,11,0.0291,49.51710129,9600,51.96721583,9.459275132,38.57350947,1.303239669,3.8,4100,6.923,0.78319961,194.3431777,51.06200027,13366230220,2290.382891,12782645699,1214634.185,17.93088913,39.53359,0.419265717,2.39,370,25.60115057,63.785,69.36884857,2.912711963,11.75939188,33,304.313,249.061,44.6,29.7,130.7,38.7,2198521142,46.63822028,100,17.06376023,3.8,55.5,31.6,49.375,23.01099968,99.42221889,-43.75716601,9.27,7.750240556,50,11,-,31.717,53.34486736,68.67,39851.12911,222,40,75,55
Costa Rica,CRI,North America,5153957,51100,48.5,62.1,0.809,58.9,7.58,7.58,6.71,921.6,14,27,6.8,0.07,38,53,0.87,0.3,0.5,0.452,0.5,78.4,63.1,65.4,50,19.3,0.998,46,-,99.90000153,1000,7.128495366,10.87851142,81.99299074,1.620601418,0.37,500,5.627,5.27621126,1922.883198,48.61100006,64282438667,12472.44373,60132529869,7242853.31,24.55101013,69.2383,0.628635049,0.21,11,2.02914008,79.277,56.3482045,-,-,6.7,110.686,52.584,7.9,14.8,23.3,0.9,-1708406583,15.7259203,99.68879337,100.8602153,0.5,2.8,3.4,86.25,17.95400047,60.10507193,42.82567901,4.87,13.18214869,10,10,142.0174866,18.575,99.00110988,35.76,22224.26764,113,78,84,65
Cote d'Ivoire,CIV,Africa,27478249,322460,41.5,39.6,0.55,30.5,7.02,7.02,3.44,75.1,48.3,617,3.44,3.34,19,30,-0.95,-0.5,-0.3,-0.634,-0.37,30,33.8,61.6,50,22.6,-,14,0.0125,69.67912292,4200,54.3054201,10.03468075,35.65990096,0.414187926,0.33,1300,8.817,0.95927447,270.5740305,53.57400131,70043191477,2549.041297,67930954950,1370895.212,17.37957954,60.68796,0.379889339,0.21,128,2.763518213,59.032,41.40445258,1.251481329,-,57.9,349.567,335.791,77.9,24.1,269.1,47.2,2982160384,25.88626634,100,85.2144421,1.9,9.4,4.4,83.125,3.467999935,42.20452104,-77.98815553,2.71,11.76875524,25,4,57.46538925,47.82,16.72597865,62.46,2938.707338,76.84,45,84,59
Croatia,HRV,Europe,3899000,88070,30.8,46.2,0.858,64.5,10.45,10.45,-,1040.1,46.7,8,-,-,36,49,0.71,0.6,0.5,0.303,0.06,69.9,50,67.6,60,47.4,0.592,31,0.0274,100,100,3.396394081,5.065135554,91.53847078,4.063707833,0.04,100,14.1,5.69058323,3714.382988,47.52399826,68955083280,17685.32528,69560020723,113466.9189,8.509619713,73.62096,0.709693968,0.02,4,2.034956001,77.72439024,83.24259397,2.735568587,5.04380373,3.9,104.715,45.153,4.6,7.9,35.5,0.1,-10082887776,17.90177229,99.77960527,44.27160213,0.1,1.6,2.5,93.75,8.682999611,89.98540001,-12.41792098,9.23,21.50461665,12,8,100.3958282,42.122,66.82683752,31.6,9273.71556,37.7,73,51,95
Cuba,CUB,North America,11256372,109880,-,-,0.764,-,-10.95,-10.95,-,1031.9,-,36,-,0.2,1,11,0.43,-0.2,-1.4,-0.404,-0.01,15.6,39.9,29.5,10,62.4,0.046,53,-,100,1800,9.215071855,7.477643283,83.30728506,2.289537296,0.35,1000,10.23,10.12506104,1447.666993,52.68299866,-,-,-,-,14.22594357,-,-,0.17,6.8,401.5882781,77.567,-,-,-,4.1,130.806,72.972,5.1,8.9,49.5,1,-,19.7060474,100,102.4424099,0.5,-,2.5,-,2.756000042,15.68298681,-8.108686256,5.83,-,-,-,99.9485321,22.708,3.948146688,21.54,3368.474034,38.12,80,79,66
Cyprus,CYP,Asia,1244188,9250,34.8,49.4,0.896,65.9,5.51,5.51,-,1996.5,2.3,6,-,-,38,55,0.44,0.7,0.9,0.637,0.39,90.9,62.9,72.9,60,39.6,0.133,14,0.0199,100,100,4.791724617,5.346625435,89.86164863,5.851065608,0.07,100,6.93,3.92549944,3548.868092,58.82799911,28407867534,31551.81641,26007856841,24423.27539,13.68255043,73.35105,0.755520225,0.04,4.4,2.871144871,81.391,49.1237154,1.986812218,4.121303447,2.3,69.678,40.907,2.8,5.8,20.1,0.3,-4842071103,17.2944062,100,134.5068108,0.1,-,2.5,94.375,6.130000114,164.1557391,44.84747212,10.81,23.97935972,16,5,101.4274063,33.144,8.780057357,12.05,634.7470289,0.78,79,44,87
Czech Republic,CZE,Europe,10505772,78871.01,-,46.8,0.889,71.1,3.34,3.34,4.27,1844.2,3.1,3,4.27,-,36,55,0.96,1.1,1.3,1.126,0.64,81.8,59.6,74.4,80,41.4,0.156,25,0.0143,100,-,5.827791344,4.775480923,89.39672369,9.022786158,-,-,12.1,6.38516235,6258.891037,57.95600128,2.82E+11,26821.24523,2.69E+11,555406.3043,11.06466007,76.34054,0.752257407,-,3.9,3.331700274,78.22682927,155.4114145,1.434091362,3.013504654,2.3,-,-,2.9,5.9,29.6,0.2,12266246974,16.07124535,99.67721262,133.2019458,-,1.6,2.5,93.75,2.887000084,133.1483198,-29.17807323,14.45,14.83340329,8,9,100.9363785,25.786,11.40457054,15.85,1232.211412,13.15,78,69,87
Denmark,DNK,Europe,5856733,42920,29,45.3,0.948,82,4.69,4.69,6.79,6003.3,27.9,4,6.79,-,40,57,0.95,2,1.8,1.936,2.37,89.6,99.5,78,80,54.6,0.852,40,0.0137,100,100,6.826140097,3.516020383,89.65784129,5.107988509,0.04,100,9.4,8.29217625,5858.801536,59.15000153,3.98E+11,68007.75667,4.12E+11,442361.9789,13.9115696,85.28856,0.755094826,0.02,3.8,2.766608193,81.55121951,61.82525147,1.371591469,2.560620229,3.1,71.498,43.561,3.6,3.7,13.2,0.3,18682870854,10.02965344,56.91445611,136.4569664,0.1,1.4,2.5,100,4.797999859,103.5122596,-25.91027262,10.26,32.2352444,10,5,130.8608246,11.76,65.50592462,37.52,1031.916844,6,85,34,87
Djibouti,DJI,Africa,1105557,23200,40.9,-,0.509,-,4.31,4.31,3.63,61.8,31.7,248,3.63,33.48,5,19,-0.71,-0.8,-0.9,-1.009,-0.78,28.3,24.5,55.3,50,49.3,0.017,26,-,61.76708221,200,37.41382335,10.8115461,51.77463003,0.391063625,0.19,100,8.821,0.96505356,-,22.50600052,3482987379,3150.436729,3422645607,550198.6781,-,60.49674,-,0.13,204,4.463730555,62.694,209.331795,-,-,47.2,301.584,213.047,55.9,23.5,159,31.3,-126608560.6,45.5496176,100,47.65331897,0.7,16.5,13.5,68.125,28.38599968,223.1237803,51.86178515,0.43,-,35,6,54.27222824,21.783,0,27.92,279.3311694,0.3,48,85,80
Dominican Republic,DOM,North America,11117873,48670,47.1,54.8,0.767,48.1,12.27,12.27,4.62,491.1,19.5,95,4.62,4.11,27,41,0.14,0,0.1,-0.096,-0.57,55.9,30.8,63,40,17.7,0.109,28,0.0065,100,3800,12.57576408,15.48988619,71.93434883,2.502324464,0.67,1000,6.46,2.66199851,1597.142222,56.95800018,94243453937,8476.752157,89537253938,460827.3688,22.34151077,59.98867,0.502766907,0.39,45,7.777158119,72.889,38.84089395,0.650562726,3.399302324,27.9,198.832,102.537,33.8,64.6,43,2.2,-6803100000,13.72632115,99.91344262,228.4337991,0.9,-,6.7,86.25,8.49600029,44.29365655,96.42837607,6.68,13.02493499,7,7,79.7734375,16.787,11.63244298,13.98,2159.552916,23.5,66,84,67
Ecuador,ECU,South America,17797737,256370,45.9,58.8,0.74,48.1,4.24,4.24,4.13,486.5,16.6,59,4.13,1.38,31,40,-0.27,-0.2,-0.7,-0.339,-0.57,47.3,37.2,54.3,40,39.8,0.812,39,0.0246,98.84999847,1700,12.33679297,11.45970607,76.20350262,2.265370728,0.19,500,7.534,4.82940865,1375.862154,60.66999817,1.06E+11,5965.132871,1.05E+11,5871.659553,11.60818005,57.7227,0.594254851,0.11,48,2.579330935,72.153,49.34354324,2.455712023,6.512893751,11.1,213.076,114.477,13,20.1,24.5,0.6,3499294119,14.88610066,98.31562394,69.42207357,0.4,12.8,15.4,89.375,6.427000046,41.37523008,70.9249596,4.2,-,8,11,100.5603409,35.639,52.80294232,17.73,25507.76245,442.4,80,70,66
Egypt,EGY,Africa,109262178,1001450,31.8,43.2,0.731,43.1,3.33,3.33,2.48,149.8,3.1,37,2.48,-,6,12,-1.02,-0.4,-0.5,-0.245,-0.68,22.1,28.7,49.1,50,34.1,0.096,28,0.013,100,-,9.628460813,4.763708503,85.6078303,2.361040835,-,-,5.851,1.31698537,1592.219894,37.4070015,4.04E+11,3698.834981,3.92E+11,56254.20127,11.64000034,60.05364,0.494374663,-,10,4.81371578,70.99,31.45645813,1.300819109,4.759475719,16.6,185.848,105.044,19.5,10.1,108.9,2,-29233930500,86.99945205,100,109.1039772,0.1,7.1,5.1,50.625,9.329000473,33.75918019,112.4343926,0.36,-,27,6,-,57.138,8.259285514,5.3,9.468022941,1,70,89,60
El Salvador,SLV,North America,6314167,21040,36,56.3,0.675,47.2,10.8,10.8,3.39,300.1,1.6,46,3.39,-,26,33,-0.21,-0.3,-0.3,-0.848,-0.53,46.8,36.1,59.6,60,21.3,0.712,27,0.0137,100,1000,15.7989247,19.09348348,65.10758747,1.241995331,0.28,200,8.442,4.54885817,949.9919962,53.32500076,28736940000,4551.184661,27112720000,4293.950413,12.44863987,65.25247,0.546176612,0.17,49,6.088425321,71.061,75.52996248,1.374902032,4.477472206,11.1,293.265,124.344,12.9,20.9,41.9,2,-5146791563,24.47229229,100,300.1029943,0.5,14.7,7.7,88.75,5.940000057,69.45115055,88.1295049,3.89,18.12892354,7,9,-,25.882,57.8226749,19.39,2488.767506,15.63,76,89,62
Equatorial Guinea,GNQ,Africa,1634466,28050,-,-,0.596,-,-0.95,-0.95,-,254.9,3.6,301,-,-,0,5,-0.29,-1.2,-1.7,-1.197,-1.57,6.9,6.5,47.2,30,36.1,0.106,23,0.0131,66.74772644,4200,59.50939333,7.709717115,32.78088753,3.444876441,5.77,1200,9.026,0.6663335,-,49.85400009,12269392840,7506.667523,9147762171,3103591.607,-,41.05286,-,3.8,275,18.16219531,60.708,61.94275543,1.305171549,8.116464651,58.3,318.217,243.056,78.5,27.2,177.7,22.3,-,53.24062104,100,58.26973262,6.9,-,-,51.875,9.244999886,89.42737007,2519.019567,7.23,6.168908909,46,16,-,26.439,57.82747604,6.58,16741.4559,26,43,74,42
Eritrea,ERI,Africa,3620312,121630.327,-,-,0.492,-,-,-,-,25.3,2.7,480,-,-,1,2,-1.01,-1.7,-2.3,-1.572,-1.24,3.9,11.1,39.7,20,28.5,0.053,22,-,52.1710968,200,38.64450538,11.87730724,49.47818666,0.25151351,0.11,100,6.424,0.78496498,96.28621076,70.65100098,-,-,-,-,-,21.5998,-,0.06,74,-,67.133,62.52423702,-,-,29.7,234.245,172.033,39.3,37.9,173.7,45.6,-,48.03019868,100,29.76487928,0.5,-,-,69.375,8.046999931,-,49.25122003,1.44,-,30,13,-,58.015,0.492610837,73.67,800.2702627,2.8,50,91,60
Estonia,EST,Europe,1330932,45340,34.8,34.4,0.89,70.8,8.35,8.35,5.26,1598.8,35.4,9,-,-,38,56,0.76,1.4,1.6,1.428,1.54,92.3,83.9,80,70,39.8,0.442,26,0.0216,100,-,3.582599329,4.222513552,92.19489098,7.672029278,-,-,11.9,5.00857496,6732.367473,59.37200165,37191166152,27943.70122,36545965937,23216.36267,13.4449501,80.61685,0.777203202,-,9.3,5.99690608,78.34634146,121.3379538,2.155515046,4.846575137,1.7,-,-,2.1,4.5,25,0.1,-278851667.4,6.732124015,0,29.35447728,-,0.8,2.5,97.5,6.330999851,138.4663387,-58.24717823,9.23,20.95921299,8,3,114.9530792,30.585,14.4187386,31.29,9578.731749,12.71,78,75,87
Eswatini,SWZ,Africa,1192271,17360,50.4,35.3,0.597,-,7.43,7.43,5,264.1,-,437,5,-,1,16,-0.03,-0.7,-0.6,-0.561,-0.65,36.9,32.1,51.4,40,34.1,0.546,10,0.017,79.73049927,6300,42.07940293,12.05825848,45.86233995,0.820784292,14.88,2200,9.603,3.44011402,-,36.7519989,4743335153,3978.403528,4361962647,54085.55488,18.51000023,59.49273,0.372500807,7.65,348,-0.899357001,59.692,84.24452144,1.698023627,-,37.4,484.633,300.993,46.6,33.5,137,27.9,240825502.7,17.16878731,100,68.67920507,27.9,18.3,11,46.25,25.75600052,86.88450516,53.78462876,10.04,-,33,12,-,75.631,46.57258065,65.95,2257.156854,2.64,58,81,47
Ethiopia,ETH,Africa,120283026,1136239.544,33,41.7,0.498,32.3,5.64,5.64,5.07,26.7,3.2,401,5.07,12.79,12,11,-2.07,-0.6,-0.9,-0.606,-0.4,20.5,33.2,49.6,20,17.7,1,43,0.0053,51.0939827,8300,44.65431528,12.08698188,43.25870265,0.160882449,0.17,3500,6.616,0.73514652,68.05233164,75.56500244,1.11E+11,925.077428,1.11E+11,35912.3905,20.92220116,47.97613,0.382784843,0.12,119,21.77832231,65.371,17.90401802,0.527828227,3.784981641,35.4,263.664,174.956,48.7,28.2,144.4,43.7,-8509208859,38.97873776,100,105.860623,0.8,19.6,24.9,76.875,3.694000006,24.00611364,175.3203116,2.36,7.519920423,29,11,-,77.826,99.96167481,88.92,1069.044558,122,38,86,73
Fiji,FJI,Oceania,924610,18270,-,-,0.73,49,-4.08,-4.08,5.07,235.7,3.4,34,5.07,1.18,23,35,0.67,0.6,0,0.311,0.47,43.4,54.3,56.4,50,32.6,0.579,22,0.0165,100,200,9.350539618,5.944280241,84.70517966,1.774700174,0.32,100,8.078,2.49526525,-,53.6590004,4296304590,4646.612723,4045990671,9060.715636,16.83370018,61.47892,0.508573294,0.19,66,-3.446577853,67.924,68.22142003,1.650627462,4.032223144,23,235.5,179.223,27.4,13.5,99,2.9,-659800659.4,10.8401599,82.80318235,50.60810071,0.2,4.2,5.7,82.5,5.238999844,71.73676439,-3.035459305,3.32,23.99335343,38,11,95.13703156,42.26,45.01588482,26.48,31084.47246,28.55,61,54,56
Finland,FIN,Europe,5541017,338460,27.2,51.3,0.94,81.3,3.47,3.47,6.28,4450.3,23,3,-,-,40,60,0.98,2,1.9,2.058,2.27,97.8,96.4,78.3,80,57.1,0.532,46,0.0203,100,-,1.42416707,5.643007367,92.93282585,7.372854761,-,-,10,7.33806992,15249.98938,55.64099884,2.97E+11,53654.7503,3.03E+11,46218.41081,12.04329967,80.17834,0.796001017,-,3.5,2.548311546,82.13170732,56.49005583,2.030280832,3.548831985,1.9,91.276,42.095,2.3,3.9,7.2,0.1,3595508027,5.861331001,0,16.37126101,-,2.4,2.5,97.5,7.525000095,71.63411653,-8.579336138,10.78,20.82437399,8,3,144.2259064,14.404,44.49903057,45.76,19378.41997,107,83,25,87
France,FRA,Europe,67749632,549086.87,29.3,51.8,0.903,73.9,6.96,6.96,5.41,4491.7,-,8,-,-,38,51,0.37,1.3,1.2,1.289,1.31,85.5,75.9,65.9,70,57,0.237,40,0.0195,100,5000,6.368028036,6.355869093,87.27610337,4.459547465,0.17,1000,9.9,8.32757092,6939.943525,51.13000107,2.96E+12,43658.97898,3.05E+12,38002.92229,9.672380447,76.80465,0.762737215,0.09,7.7,1.333318426,82.17560976,43.91219744,1.945382262,3.207239551,3.4,-,-,4.4,5.1,9.7,0.3,-66739558650,11.81496362,78.21356392,123.385999,0.3,1,2.5,100,8.062999725,56.86382289,-10.01264095,12.33,24.17084372,9,5,104.6316833,18.758,15.85766663,15.53,2967.887414,200,84,37,82
Gabon,GAB,Africa,2341179,267670,42.2,39.9,0.706,40.9,1.51,1.51,3.18,215,3.6,252,3.18,-,3,18,-0.09,-0.8,-0.8,-0.696,-0.85,18.6,24.4,55.8,40,22.6,0.582,16,0.0171,91.57156372,1300,46.27022173,8.723468716,45.00630924,2.340839626,1.15,500,6.909,1.66962504,1118.536954,37.51900101,20216843174,8635.325694,17052331402,4039008.057,14.15939045,45.0251,0.457612455,0.8,513,25.34846965,66.531,46.52556247,1.710036103,8.808852091,30.7,270.109,181.631,41.7,23.9,76,20.6,-,44.38554846,100,8.746512497,3,-,17.2,82.5,22.26499939,70.05999659,181.5918167,8.74,10.21533638,50,7,-,9.577,43.74412041,89.88,73123.37117,164,49,63,42
"Gambia, The",GMB,Africa,2639916,11300,50.2,-,0.5,-,5.63,5.63,2.76,29.7,51.4,597,2.76,13.63,21,26,0.18,-0.6,-0.9,-0.386,-0.36,37.2,38.1,58,50,29.4,0.01,9,0.0075,62.27306747,1600,52.1731292,10.73015437,37.09671693,0.23117857,1.4,500,7.373,1.04134357,-,50.96500015,2038417462,772.1523951,1987167103,38754.30355,14.09726143,50.29381,0.421570629,0.8,149,7.84693621,62.612,31.34784762,0.748651383,2.667397887,34.7,292.306,240.112,49.4,29.6,237,29.7,-511759816.4,33.98263855,100,233.620885,1.7,27.1,21.6,69.375,11.21199989,47.50036503,196.6766684,3.55,-,49,7,-,36.778,0,49.24,1195.751257,3,48,87,57
Georgia,GEO,Asia,3708610,69700,40.1,44.3,0.802,55.4,10.36,10.36,3.85,291.1,33,25,3.85,0.62,22,36,-0.42,0.7,1.1,0.171,0.69,56.4,64.4,71.8,70,29.8,0.759,19,0.0167,100,1000,2.753144065,3.901356014,93.34550045,2.717624226,0.28,100,13.976,2.7172761,2693.97276,52.64500046,18629365597,5023.27438,17459909901,15163.80094,13.35789967,83.73393,0.568925798,0.14,64,10.25408911,72.765,77.0128211,1.673221675,5.242639922,8.2,231.779,71.825,9.3,12.4,101.8,0.2,-3164995917,22.19605462,100,53.20817791,0.3,9.5,7.6,88.125,10.6590004,93.87579829,-61.72809374,8.25,22.43079503,5,1,102.5507507,40.128,78.03932429,25.22,15625.66781,58.13,65,87,62
